id,question,choice_a,choice_b,A_trait,B_trait,weight
1,주말엔 주로 뭘 해?,집에서 쉬며 가족이나 친구와 대화한다,새로운 장소에 나가 경험한다,안정,모험,1
2,새로운 카페를 발견하면?,리뷰 보고 천천히 간다,바로 들어가 본다,안정,모험,1
3,모임에서 나는?,듣고 공감하며 맞장구친다,분위기를 주도하고 사람들을 모은다,공감,외향,1
4,여행 계획은?,꼼꼼히 일정표를 만든다,즉흥적으로 움직인다,안정,모험,1
5,친구가 고민을 털어놓으면?,조용히 들어주며 위로한다,해결 방법을 제시한다,공감,창의,1
6,새로운 트렌드가 나오면?,조심스럽게 지켜본다,바로 시도한다,안정,창의,1
7,내 파티 스타일은?,몇 명과 깊은 대화,많은 사람들과 활발한 교류,안정,외향,1
8,자기소개서 작성할 때?,체계적으로 논리정리,독창적인 표현과 개성 강조,안정,창의,1
9,집안 분위기가 가라앉으면?,차분히 대화로 풀어낸다,농담과 행동으로 분위기를 띄운다,공감,외향,1
10,쇼핑할 때 나는?,가격·품질 꼼꼼히 비교,눈에 띄는 신상품을 먼저 본다,안정,창의,1
11,길을 헤맬 때 나는?,사람에게 물어본다,지도앱과 감으로 찾아본다,공감,모험,1
12,휴가 계획은?,휴식 위주로 잡는다,활동과 모험 위주로 잡는다,안정,모험,1
13,회의 시간에 나는?,타인의 의견을 경청한다,새로운 아이디어를 낸다,공감,창의,1
14,낯선 사람을 만나면?,먼저 다가가기 어렵다,편하게 먼저 말 건다,안정,외향,1
15,팀 프로젝트에선?,분위기 조율과 배려,새로운 시도 제안,공감,창의,1
16,혼자 있는 시간은?,필요하고 소중하다,지루하고 답답하다,안정,외향,1
17,친구 생일 선물은?,실용적이고 안전한 것,독특하고 특별한 것,안정,창의,1
18,내 여행 사진은?,경치와 분위기 위주,나와 친구들 위주,창의,외향,1
19,주말 저녁엔?,집에서 영화 보기,새로운 사람들과 어울리기,안정,외향,1
20,갑작스런 초대에 나는?,거절하고 쉬는 걸 선호,재밌을 것 같아 나간다,안정,모험,1
21,감동적인 영화를 보면?,눈물이 많아진다,주제와 메시지를 분석한다,공감,창의,1
22,내 방 스타일은?,깔끔하고 정돈,다채롭고 개성 있는 소품,안정,창의,1
23,내가 더 즐기는 건?,하나의 취미를 오래 지속,새로운 취미 계속 시도,안정,모험,1
24,사람들이 나를 볼 때?,편안하고 따뜻하다,에너지 넘치고 활발하다,공감,외향,1
25,문제가 생기면?,차분히 원인을 찾는다,창의적으로 해결법을 떠올린다,안정,창의,1
26,휴일 아침 나는?,늦잠 자며 휴식,일찍 일어나 새로운 활동,안정,모험,1
27,친구에게 나는?,항상 의지되는 따뜻한 존재,항상 새로운 자극을 주는 존재,공감,모험,1
28,내 SNS는?,일상 기록과 가까운 사람 위주,새로운 트렌드와 시도 위주,안정,창의,1
29,모르는 길을 갈 때?,안전한 길 위주로,새로운 길 탐험,안정,모험,1
30,내 성향은?,타인의 기분을 먼저 생각,내 생각과 의견을 강하게 주장,공감,외향,1